"Super Name","Real Name","Publisher","Creators","Gender","Character Type","Appearances","Intelligence","Strength","Speed","Durability","Power","Combat","Good or Bad","Description","Pic"
"Quicksilver","Pietro Django Maximoff","Marvel","Stan Lee, Jack Kirby","Male","Mutant",2669,63,28,100,60,57,56,"Bad to Good","Quicksilver is a mutant with the ability to travel, at speeds far beyond, the average human. He is the twin brother, of the Scarlet Witch. After he and his sister left the Brotherhood, of Evil Mutants, they both became members of the Avengers. Although Quicksilver's loyalties and reliability have long been erratic, his love for his sister has proven constant. He is currently a member of the New X-Factor team led by Polaris.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/56.jpg"
"Red Skull","Johann Schmidt","Marvel","Jack Kirby
Joe Simon","Male","Human",994,75,10,12,14,19,80,"Bad","A long-time enemy of Captain America, Johann Schmidt is a proud Nazi general and the embodiment of evil, fear, and horror. He is known as the ruthless Red Skull.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/57.jpg"
"Rogue","Anna Marie","Marvel","Creators 
Chris Claremont
Al Milgrom
Michael Golden","Female","Mutant",5001,75,10,12,28,80,80,"Good","Once a member of the Brotherhood of Evil Mutants, Rogue has since become a veteran member of the X-Men. After many years, she has finally gained conscious control of her power to absorb the thoughts, abilities and memories of others through physical contact. She is currently a member of both the Avengers Unity Squad and the X-Men team, based out of Jean Grey's School for Higher Learning.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/58.jpg"
"Sabretooth","Victor Creed","Marvel","None","Male","Mutant",2532,55,53,25,90,28,100,"Bad","Victor Creed is the feral mutant called Sabretooth. He was a member/subject of the Weapon X Project and is the arch-enemy of Wolverine. Unlike Wolverine, Sabretooth embraces his primal instincts, leaving death in his wake.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/59.jpg"
"Sasquatch","Walter Langkowski","Marvel","John Byrne
Chris Claremont","Male","Radiation",678,75,80,23,56,15,42,"Good","A long-time member of Alpha Flight, Walter Langkowski has the ability to transform at will into the fearsome and powerful Sasquatch. He gained his powers while trying to duplicate the conditions that had created the Hulk, but inadvertently fused his body with the essence of the Great Beast, Tanaraq, instead.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/60.jpg"
"Scarlet Witch","Wanda Marya Maximoff","Marvel","Stan Lee, Jack Kirby","Female","Mutant",3299,88,10,23,42,72,50,"Bad to Good","The probability manipulating and reality warping mutant known as the Scarlet Witch is also mother to Wiccan and Speed, sister to Quicksilver and also the power behind the mutant catastrophe, M-Day. A long time Avenger, she is currently a member of the Avengers Unity Squad.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/61.jpg"
"Sentinels (Team)","Sentinels","Marvel","None","Male","Mutant",1963,98,78,96,69,88,84,"Good to Bad","Advanced androids designed to hunt down and eliminate mutants.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/62.jpg"
"Shaman","Michael Twoyoungmen","Marvel","Chris Claremont
John Byrne","Male","Human",489,56,47,59,76,65,64,"Good","Dr Michael Twoyoungmen is a powerful shaman and a founding member of Alpha Flight.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/63.jpg"
"Silver Samurai","Kenuichio Harada","Marvel","Steve Gerber
Bob Brown","Male","Mutant",378,67,56,47,37,33,66,"Bad","A sword-wielding mutant, Silver Samurai has often tangled with Wolverine as the bodyguard of Viper, and later an occasional mercenary. He is the head of Clan Yashida, as Wolverine's ex-fiancee formerly was.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/64.jpg"
"Silver Surfer","Norrin Radd","Marvel","Stan Lee
Jack Kirby","Male","Alien",1685,63,100,84,100,100,32,"Good","Norrin Radd is the Silver Surfer, an alien from the planet Zenn-La. He wields the Power Cosmic making him able manipulate cosmic energy granted to him by his former master Galactus. He travels the stars on his trusty surfboard with superhuman speed.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/65.jpg"
"Siryn","Theresa Maeve Rourke Cassidy","Marvel","Chris Claremont
Steve Leialoha","Female","Mutant",1283,38,58,47,28,50,42,"Good","Theresa Cassidy is a mutant with sonic-based powers inherited from her father, Sean Cassidy a.k.a. Banshee. In honor and memory of her father, she took the name of Banshee.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/66.jpg"
"Spider-Man","Peter Benjamin Parker","Marvel"," Stan Lee Tom DeFalco Steve Ditko Ron Frenz ","Male","Radiation",11058,88,55,60,74,58,85,"Good","Peter Parker was bitten by a radioactive spider as a teenager, granting him spider-like powers. After the death of his Uncle Ben, which he could have prevented, Peter learned that with great power, comes great responsibility. Swearing to always protect the innocent from harm, Peter Parker became the Amazing Spider-Man!","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/67.jpg"
"Stature","Cassandra Eleanor Lang","Marvel","Allan Heinberg
David Michelinie
Jim Cheung","Female","Mutant",445,56,65,64,63,27,77,"Good","The daughter of Scott Lang and a member of the Young Avengers. She has the same ability to shrink and grow in size as her father, gained through utilizing Pym Particles.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/68.jpg"
"Stepford Cuckoos","Stepford Cuckoos","Marvel","None","Female","1",1219,54,58,78,98,95,90,"Good to Bad","The Stepford Cuckoos are five powerful telepaths - cloned daughters of Emma Frost's - who can combine their telepathic abilities to create a much more powerful hive-mind. The three remaining Cuckoos are currently students at the New Charles Xavier School for Mutants.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/69.jpg"
"Storm","Ororo Munroe","Marvel","Creators 
Len Wein
Dave Cockrum","Female","Mutant",7352,75,10,47,30,88,75,"Good","Gifted with the power to control the forces and elements that govern weather Storm stands among the most powerful mutants on the planet. A former thief, “goddess”, and queen, Storm is a veteran member and mainstay of the X-Men. She is the team’s field leader and the Headmistress of the Jean Grey School.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/70.jpg"
"Sunspot","Roberto Da Costa","Marvel","Chris Claremont
Bob McLeod","Male","Mutant",2266,63,63,35,25,79,70,"Good","Roberto Da Costa is a mutant with the ability to harness the sun's power and possesses superhuman strength, speed, and durability. Born in Brazil, Roberto comes from a wealthy family and has been described as brash and quick tempered. Initially a member of the New Mutants, Roberto has since developed a long history with various X-Men related teams as well as some villains. Currently, he is a member of the Avengers.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/71.jpg"
"Talisman","Elizabeth Twoyoungmen","Marvel","John Byrne","Female","Human",156,98,96,85,74,64,42,"Good","Elizabeth Twoyoungmen is the only daughter by the Alpha Flight resident magician, Shaman. Estranged from her father for many years, a magical discovery brings them back together. She has taken on a powerful native American artifact and with its prowess joined Alpha Flight also.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/72.jpg"
"Taskmaster","Anthony Masters","Marvel","David Michelinie
George Pérez","Male","Mutant",419,80,49,52,56,66,100,"Bad","Tony Masters, also known as Taskmaster possesses the ability to absorb knowledge and instantly replicate combat skills of anyone he observes. He has used these skills as a teacher to many super villains, henchmen, and even some heroes. In order to clean his record, he started working to the U.S. government as a combat instructor and currently serves as a member of S.H.I.E.L.D's Secret Avengers.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/73.jpg"
"Thing","Benjamin Jacob Grimm","Marvel","Stan Lee, Jack Kirby","Male","Radiation",6022,75,84,21,90,26,80,"Good","Ben Grimm - The Thing - is the original, quintessential tough-guy of the Marvel Universe but because of his transformation he's also the tragic member of the Fantastic Four. Ben was an ace test-pilot until exposure to intense cosmic radiation mutated him into a rock-skinned monster with immense superhuman strength. Ben's exterior is much harder than stone and he has a gruff disposition, but inside he has a heart of gold.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/74.jpg"
"Thor","Thor Odinson","Marvel","Stan Lee
Jack Kirby","Male","God/Eternal",5793,69,100,92,100,100,85,"Good","Thor is the Asgardian God of Thunder and the son of Odin, the All-Father of Asgard , and the Elder Earth-Goddess Gaea. Combining the power of both worlds, Thor is arguably the greatest and mightiest defender of both . Armed with his powerful enchanted hammer Mjolnir, Thor is the mightiest warrior of Asgard, a founding member of the Avengers and one of the strongest, most powerful beings on Earth.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/75.jpg"
"Venom","1","Marvel","Todd McFarlane
David Michelinie","Male","Alien",1502,75,57,65,84,79,84,"Bad","The Venom Symbiote bonded with Spider-Man during his adventure on Battleworld. Initially he thought the symbiote was just a costume, however upon his discovery that it was sentient, he rejected it. Since then, the Venom symbiote has bonded with several different hosts.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/76.jpg"
"Wiccan","William Kaplan","Marvel","Jim Cheung
Stefano Caselli
Allan Heinberg","Male","Mutant",409,87,88,76,74,66,68,"Good","Billy Kaplan, an electrokinetic mutant with magical and reality warping abilities, joined the Young Avengers under the name Asgardian (which was later changed to Wiccan) as part of Vision's fail safe program to ensure the existence of the Avengers team. Wiccan and his teammate Speed are believed to be the reincarnations of the Scarlet Witch's dead twin sons. He is considered a powerful mage, and was revealed to be the Demiurge, a being of great power, destined to one day rewrite the laws of magic.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/77.png"
"Wolfsbane ","Rahne Sinclair","Marvel","Chris Claremont
Bob McLeod","Female","Mutant",2019,38,16,35,42,26,42,"Good","A member of the original New Mutants, Wolfsbane has the power of lycanthropy.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/78.jpg"
"Wolverine","James Howlett","Marvel","Herb Trimpe, Len Wein","Male","Mutant",12141,55,32,38,100,44,100,"Good","A long-lived mutant with the rage of a beast and the soul of a Samurai, James Logan Howlett's past is filled with blood, war, and betrayal. Possessing an accelerated healing factor, enhanced senses, and bone claws in his hands that, along with his skeleton, are coated in adamantium, Wolverine is the ultimate weapon.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/79.jpg"
"X-23","Laura Kinney","Marvel","Craig Kyle
Christopher Yost","Female","Mutant",1254,75,24,35,90,27,85,"Bad to Good","Laura is the product of a different section of Weapon X. She was cloned from Wolverine's damaged DNA - from the salvaged part of his X chromosome - and born to Sarah Kinney, her mother and the scientist who made her birth possible. Since she could walk, she was trained to be the perfect replication and killer of Wolverine. Under Wolverine and Gambit's guidance, she has since 'found herself'.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/80.jpg"
"Superman","Clark Kent","DC Comics","Action Comics","Male","Mutant",1,100,100,100,100,100,85,"Good","Superman is a fictional superhero appearing in American comic books published by DC Comics. The character is considered an American cultural icon.[2][3][4][5] The Superman character was created by writer Jerry Siegel and artist Joe Shuster in 1933; the character was sold to Detective Comics, Inc. (later DC Comics) in 1938.[6][7] Superman first appeared in Action Comics #1 (June 1938) and subsequently appeared in various radio serials, newspaper strips, television programs, films, and video games. With the character's success, Superman helped to create the superhero genre and establish its primacy within the American comic book.[2]

Superman's appearance is distinctive and iconic; he usually wears a blue costume, red cape, and stylized red-and-yellow S shield on his chest.[8][9][10] This shield is used in a myriad of media to symbolize the character.[11] The origin story of Superman relates that he was born Kal-El on the planet Krypton, before being rocketed to Earth as an infant by his scientist father Jor-El, moments before Krypton's destruction. Discovered and adopted by a Kansas farmer and his wife, the child is raised as Clark Kent and imbued with a strong moral compass. Very early on he started to display superhuman abilities, which, upon reaching maturity, he resolved to use for the benefit of humanity. Superman resides and operates in the fictional American city of Metropolis. As Clark Kent, Superman's secret identity, he is a journalist for the Daily Planet, a Metropolis newspaper. Superman's primary love interest is Lois Lane, and his archenemy is supervillain Lex Luthor.[12]

Superman has fascinated scholars, with cultural theorists, commentators, and critics alike exploring the character's impact and role in the United States and worldwide. The character's ownership has often been the subject of dispute, with Siegel and Shuster twice suing for the return of legal ownership. Superman has been labeled as the greatest comic book hero of all time by IGN, as the editors pointed out that Superman was the blueprint for superheroes as we know them today","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/81.png"
"Batman","Bruce Wane","DC Comics","Action Comics","Male","Human",1,100,18,27,42,37,100,"Good","Batman is a fictional superhero appearing in American comic books published by DC Comics. The character was created by artist Bob Kane and writer Bill Finger,[5] and first appeared in Detective Comics #27 (May 1939). Originally named the Bat-Man, the character is also referred to by such epithets as the Caped Crusader,[6] the Dark Knight,[6] and the World's Greatest Detective.[6]

Batman's secret identity is Bruce Wayne, an American billionaire, playboy, philanthropist, and capitalist. He is the owner and chairman of Wayne Enterprises. Having witnessed the murder of his parents as a child, he swore revenge on criminals, an oath tempered with a sense of justice. Wayne trains himself both physically and intellectually and crafts a bat-inspired persona to fight crime.[7] Batman operates in the fictional Gotham City and is assisted by various supporting characters, including his butler Alfred, the police commissioner Jim Gordon, and vigilante allies such as Robin. Unlike most superheroes, Batman does not possess any superpowers; he makes use of his genius intellect, physical prowess, martial arts skills, detective skills, science and technology, vast wealth, provocation of fear and intimidation, and an indomitable will in his continuous war on crime. A large assortment of villains make up Batman's rogues gallery, including his archenemy the Joker.

Batman became popular soon after his introduction and gained his own comic book title, Batman, in 1940. As the decades progressed, differing interpretations of the character emerged. The late 1960s Batman television series used a camp aesthetic which continued to be associated with the character for years after the show ended. Various creators worked to return the character to his dark roots, culminating in 1986 with The Dark Knight Returns by Frank Miller. The success of Warner Bros.' live-action Batman feature films have helped maintain public interest in the character.[8]

An American cultural icon, Batman has been licensed and adapted into a variety of media, from radio to television and film, and appears on a variety of merchandise sold all over the world, such as toys and video games. The character has also intrigued psychiatrists with many trying to understand the character's psyche. In May 2011, Batman placed second on IGN's Top 100 Comic Book Heroes of All Time,[9] after Superman. Empire magazine listed him second in their 50 Greatest Comic Book Characters of All Time. The character has been portrayed on both film and television by Lewis Wilson, Robert Lowery, Adam West, Michael Keaton, Val Kilmer, George Clooney, Christian Bale, David Mazouz, and soon by Ben Affleck.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/82.png"
"Wonder Woman","Diana Prince","DC Comics","William Moulton Marston","Female","Mutant",1,88,100,75,100,70,100,"Good","Wonder Woman is a fictional superhero appearing in American comic books published by DC Comics.[1] The character is a warrior princess of the Amazons (based on the Amazons of Greek mythology) and is known in her homeland as Princess Diana of Themyscira. When outside her homeland, she is sometimes known by the secret identity Diana Prince. She is gifted with a wide range of superhuman powers and superior combat and battle skills. She possesses an arsenal of weapons, including the Lasso of Truth, a pair of indestructible bracelets, a tiara which serves as a projectile, and (in older stories) a range of devices based on Amazon technology.

Wonder Woman was created by the American psychologist and writer William Moulton Marston.[1] The character first appeared in All Star Comics #8 in December 1941 and first cover-dated on Sensation Comics #1, January 1942. The Wonder Woman title has been published by DC Comics almost continuously except for a brief hiatus in 1986.[2] Her depiction as a heroine fighting for justice, love, peace, and gender equality has led to Wonder Woman being widely considered a feminist icon.[3][4][5] Created during World War II, the character was initially depicted fighting Axis military forces as well as an assortment of colorful supervillains, although over time her stories came to place greater emphasis on characters, deities, and monsters from Greek mythology. In the decades since her debut, Wonder Woman has gained a formidable cast of enemies bent on eliminating the Amazon, including classic villains such as Ares, Cheetah, Circe, Doctor Psycho, and Giganta, along with more recent adversaries such as the First Born. Wonder Woman has also regularly appeared in comic books featuring the superhero teams Justice Society (from 1941) and Justice League (from 1960).[6]

In addition to the comics, the character has appeared in other media; most notably, the 1975–1979 Wonder Woman TV series starring Lynda Carter, as well as animated series such as the Super Friends and Justice League. Since Carter's television series, studios struggled to introduce a new live-action Wonder Woman to audiences, although the character continued to feature in a variety of toys and merchandise, as well as animated adaptations of DC properties, including a direct-to-DVD animated feature. Attempts to return Wonder Woman to television have included a pilot for NBC in 2011, closely followed by another stalled production for The CW.[7][8] In 2013, Warner Bros. announced that actress Gal Gadot would portray Wonder Woman in the 2016 film Batman v Superman: Dawn of Justice, marking the character's feature film debut after over 70 years of history","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/83.png"
"Ant Man","Scott Lang","Marvel","Wright and Cornish","Male","Mutant",1,75,18,17,40,53,30,"Good","In 1989, scientist Hank Pym resigns from S.H.I.E.L.D. after discovering their attempt to replicate his Ant-Man shrinking technology. Believing the technology is dangerous, Pym vows to hide it as long as he lives. In the present day, Pym's estranged daughter, Hope van Dyne, and former protégé, Darren Cross, have forced him out of his own company. Cross is close to perfecting a shrinking suit of his own, the Yellowjacket, which horrifies Pym.

Upon his release from prison, well-meaning thief Scott Lang moves in with his old cellmate, Luis. While visiting his daughter Cassie unannounced, Lang is rebuked by his former wife Maggie and her police-detective fiancé, Paxton, for not providing child support. Unable to hold a job because of his criminal record, Lang agrees to join Luis' crew and commit a burglary. Lang breaks into a house and cracks its safe, but only finds what he believes to be an old motorcycle suit, which he takes home. After trying the suit on, Lang accidentally shrinks himself to the size of an insect. Terrified by the experience, he returns the suit to the house, but is arrested on the way out. Pym, the homeowner, visits Lang in jail and smuggles the suit into his cell to help him break out.

At his home, Pym, who manipulated Lang through an unknowing Luis into stealing the suit as a test, wants Lang to become the new Ant-Man to steal the Yellowjacket from Cross. Having been spying on Cross for Pym despite her strained relationship with her father, van Dyne helps Pym train Lang to fight and to control ants. They send him to steal a device from the Avengers' headquarters, where he briefly fights Sam Wilson. While van Dyne harbors resentment towards Pym about her mother Janet's death, he reveals that Janet, known as the Wasp, disappeared into a subatomic quantum realm to disable a Soviet nuclear missile. Pym warns Lang that he could suffer a similar fate if he overrides his suit's regulator.

Cross perfects the Yellowjacket and hosts an unveiling ceremony at his headquarters. Lang, along with his crew and a swarm of flying ants, infiltrates the building during the event, sabotages the company's servers, and plants explosives. When he attempts to steal the Yellowjacket, he, along with Pym and Hope, are captured by Cross, who intends to sell both the Yellowjacket and Ant-Man suits to Hydra, led by former S.H.I.E.L.D officer Mitchell Carson. Lang breaks free and he and Hope dispatch most of the Hydra agents, though Carson is able to flee with a vial of Cross' particles. Lang pursues Cross as he escapes, while the explosives detonate, imploding the building.

Cross dons the Yellowjacket and attacks Lang before Lang is arrested by Paxton. His mind addled by the imperfect shrinking technology, Cross takes Cassie hostage to lure Lang into another fight. Lang overrides the regulator and shrinks to subatomic size to penetrate Cross' suit and sabotage it to shrink uncontrollably, killing Cross. Lang disappears into the quantum realm but manages to reverse the effects and returns to the macroscopic world. In gratitude for Lang's heroism, Paxton covers for Lang to keep him out of prison. Seeing that Lang survived and returned from the quantum realm, Pym wonders if his wife is alive as well. Later, Lang meets up with Luis, who tells him that Wilson is looking for him.

In a mid-credits scene, Pym shows van Dyne a new Wasp prototype suit and offers it to her. In a post-credits scene, Wilson and Steve Rogers have Bucky Barnes in their custody. Unable to contact Tony Stark because of the accords, Wilson mentions that he knows someone who could help.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/84.jpg"
"Atom Girl","Sau Digby","DC Comics","Action Comics","Female","Mutant",1,38,10,23,28,38,42,"Good","In the original pre-Zero Hour continuity, she was the thirteenth person to join the Legion of Super-Heroes. She first appeared in Action Comics #276 (1961). She tried out for membership at the same time as Sun Boy and Bouncing Boy. At that same tryout, Supergirl and Brainiac 5 joined the Legion. Shrinking Violet joined the Legion later, as did her fellow applicants Sun Boy and Bouncing Boy. Despite her shyness, Shrinking Violet, known as Vi to her teammates, served as an exemplary Legionnaire. She became romantically involved with Duplicate Boy of the Heroes of Lallor.

Years later, she was kidnapped by Imsk-native radicals. She was replaced in the Legion by Yera, a Durlan actress who used her native shapeshifting abilities to assume Violet's identity (the radicals had told her that Violet wished to go on a secret vacation). Legion deputy leader Element Lad and Science Police liaison Shvaughn Erin became suspicious of the fake Violet when Yera, wearing Violet's form, suddenly fell in love with Colossal Boy, who harbored an unrequited crush on the real Violet for years. Yera's charade was exposed and the real Violet was rescued. After her recovery from the trauma of her abduction, Violet resumed her Legion career. More cynical in personality, she became decidedly aggressive in her dealings with criminals. Eventually, she became the most skilled female Legionnaire in hand-to-hand combat (with the exception of Dream Girl).

After returning to active duty, Violet broke up with Duplicate Boy when she learned that, although he had discovered Yera's secret some months earlier, he had neither told anyone nor tried to rescue her. She later had a short-term romantic relationship with fellow Legionnaire Sun Boy. Some time afterward, it was strongly implied (but never explicitly stated) that she entered into a longer, more serious lesbian romance with another teammate, Lightning Lass.[1]

After the Legion's disintegration in the aftermath of the Levitz-written era, Violet returned to Imsk and was drafted to fight in a war against Braal, the home planet of her fellow Legionnaire Cosmic Boy. This ended with the Battle of Venado Bay, during which she found herself saving a grievously-injured Cosmic Boy from her own comrades; he, delirious with pain, did not recognize her, and attacked her face, destroying her right eye and leaving her with a long scar along her face. The two later reconciled, and although she had her eye repaired, she chose to keep her scar as a reminder.

Before the Legion reboot, one of Violet's legs was disintegrated and subsequently replaced with an artificial one.

In the Legion on the Run storyline, she operated under the alias Virus, as Legion leader.

During the Five Year Gap following the Magic Wars, Earth fell under the covert control of the Dominators, and withdrew from the United Planets. A few years later, the members of the Dominators' highly classified Batch SW6 escaped captivity. Originally, Batch SW6 appeared to be a group of teenage Legionnaire clones, created from samples apparently taken just prior to Ferro Lad's death at the hands of the Sun-Eater. Later, they were revealed to be time-paradox duplicates, every bit as legitimate as their older counterparts. After Earth was destroyed in a disaster reminiscent of the destruction of Krypton over a millennium earlier,[2] a few dozen surviving cities and their inhabitants reconstituted their world as New Earth. The SW6 Legionnaires – including their version of Shrinking Violet – remained.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/85.jpg"
"Phoenix","Jean-Grey Summers","Marvel",,"Female","Mutant",1,100,87,67,100,100,70,"Good","Jean Grey possessed telepathic powers enabling her to read minds, project her thoughts into the minds of others, initiate astral travel, and mentally stun opponents with pure psionic force, among other talents. She also possessed telekinesis, allowing her to levitate and manipulate objects and others, generate force fields, fly, and stimulate heat molecules to generate concussive blasts.Her powers were magnified to near-infinite levels while she served as an avatar for the cosmic Phoenix Force. She was able to manipulate matter and energy on a molecular scale, although this varied on the Force's status and how much power it chose to allocate to her. The younger daughter of history professor John Grey and his wife Elaine, Jean Grey was 10 years old when her mutant telepathic powers first manifested after experiencing the emotions of a dying friend. Her parents took her to be treated by Professor Charles Xavier. While Xavier treated Jean he also used her to fine tune his Cerebro machine. When Xavier introduced young Jean to the astral plane a part of her mind manifested as a Phoenix raptor and touched the mind of Scott Summers in the orphanage. Later, Xavier erected psychic shields in Jean’s mind to prevent her from using her telepathic powers until she was mature enough to control them. Eventually, using her telekinetic powers, Jean was a founding member of Xavier’s team of mutant trainees the X-Men as Marvel Girl. Upon a mission in outer space Jean was noticed by the Phoenix Force which took note of her unlimited potential. At this moment Jean had a vision of becoming the Phoenix but the vision faded from her memory as it ended. She soon fell in love with fellow student Scott Summers, and later would develop a strong attraction towards one of the team’s new recruits, the feral Wolverine.

After Jean and the X-Men defeated scientist Stephen Lang and his robotic Sentinels on his space station, the heroes escaped back to Earth in a shuttle through a lethal solar radiation storm. Dying from radiation poisoning, Jean was saved by the cosmic entity known as the Phoenix Force who created a duplicate body complete with memories and personality, absorbed a portion of her consciousness and cast her into suspended animation in a strange cocoon at the bottom of Jamaica Bay.

For months the Phoenix believed itself to be the real Jean and saved the universe by healing the M’Kraan Crystal. Mental manipulation by Mastermind caused Phoenix to go insane and become Dark Phoenix. Ultimately, the portion of Jean’s consciousness within Phoenix resurfaced, causing it to commit suicide. This portion of Jean Grey’s consciousness then journeyed to the afterlife to meet a manifestation of Death. Death explained the Phoenix Force to Jean, who now wore a White Phoenix costume, before this portion of her consciousness and residual Phoenix energy was sent to Jean’s original body in the cocoon, where it was rejected, and then to her clone, Madelyne Pryor. Eventually, Jean was rescued from her stasis and, with the other original X-Men, formed a new team, X-Factor. Madelyne Pryor later died in a confrontation with Jean Grey in which Jean absorbed Madelyne’s and Phoenix’s personalities and memories and a spark of the Phoenix energy. While in battle with a Celestial on an alien world, Jean expelled this spark of energy and the personalities she had absorbed but kept faint impressions of their memories.



More on Marvel.com: http://marvel.com/universe/Phoenix_(Jean_Grey)#ixzz3nF0hUCuc","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/86.jpg"
"Catwoman","Selina Kyle","DC Comics","Bob Kane","Female","Human",1,69,11,33,28,27,85,"Good","Catwoman (Selina Kyle) is a fictional character appearing in American comic books published by DC Comics, commonly in association with the superhero Batman. The character was created by Bob Kane and Bill Finger, and made her debut in Batman #1 (Spring 1940), in which she is known as the Cat. Catwoman has traditionally been portrayed as a supervillain and adversary of Batman, but since the 1990s, she has been featured in an eponymous series that cast her as an antiheroine rather than a traditional villain. Catwoman is known for having a complex love-hate relationship with Batman and has been Batman's most enduring love interest.[2]

The original and most widely known Catwoman is Selina Kyle. The character was partially inspired by Kane's cousin, Ruth Steel,[3][4] as well as actress Jean Harlow. In her first appearance, she was a whip-carrying burglar with a taste for high-stake thefts.[5] For many years the character thrived, but from September 1954 to November 1966 Catwoman took an extended hiatus due to the newly developing Comics Code Authority in 1954. These issues involved the rules regarding the development and portrayal of female characters that were in violation of the Comics Code, a code which is no longer in use. In the comics, two other women have adopted the Catwoman identity, apart from Selina: Holly Robinson[5] and Eiko Hasigawa.[6]

A popular figure, Catwoman has been featured in most media adaptations related to Batman. Actresses Julie Newmar, Lee Meriwether, and Eartha Kitt introduced her to a large audience on the 1960s Batman television series and the 1966 Batman motion picture. Michelle Pfeiffer portrayed the character in 1992's Batman Returns. Halle Berry starred in a stand-alone Catwoman film, 2004's Catwoman, which was a critical and commercial flop, and bears little to no resemblance to the Batman character. Anne Hathaway portrayed Selina Kyle in the 2012 film The Dark Knight Rises and, most recently, a young version of Kyle is played by Camren Bicondova on the 2014 television series, Gotham.

Catwoman was ranked 11th on IGN's Top 100 Comic Book Villains of All Time list,[7] and 51st on Wizard magazine's 100 Greatest Villains of All Time list.[8] Conversely, she was ranked 20th on IGN's Top 100 Comic Book Heroes of All Time list,[9] as well as 23rd in Comics Buyer's Guide's 100 Sexiest Women in Comics list","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/87.png"
